date,age_days,title,dur,seconds,is_short,views,outlier,likes,comments,engagement_pct,id,thumb
2026-08-13,0,the new claude web design skill that rivals impeccable,0:39,39,True,429,0.04,10,0,2.33,f7lmXVae6hU,https://i.ytimg.com/vi/f7lmXVae6hU/hqdefault.jpg
2026-08-13,0,grokbot is a far cry from claude code and codex,0:43,43,True,950,0.1,17,5,2.32,ZRGYzWoWaYg,https://i.ytimg.com/vi/ZRGYzWoWaYg/hqdefault.jpg
2026-08-12,0,dont waste your time with grokbot,6:51,411,False,1853,0.04,91,31,6.58,M3_BX0BodOo,https://i.ytimg.com/vi/M3_BX0BodOo/hqdefault.jpg
2026-08-11,1,"Give Me 50 Minutes, I'll Give You 1000+ Hours Of Claude Code Knowledge (2026 Guide)",51:29,3089,False,9709,0.19,323,13,3.46,U6k4MeVks_Y,https://i.ytimg.com/vi/U6k4MeVks_Y/hqdefault.jpg
2026-08-07,6,Combine Claude And Codex and 10x Your Outputs With This Skill,1:02,62,True,8647,0.89,386,10,4.58,AncgOoIdHaE,https://i.ytimg.com/vi/AncgOoIdHaE/hqdefault.jpg
2026-08-06,6,Firecrawl just released the new BEST doc to MD convertor skill,0:50,50,True,14266,1.46,722,7,5.11,MWE9Okxsw_E,https://i.ytimg.com/vi/MWE9Okxsw_E/hqdefault.jpg
2026-08-06,6,The First Hack Saves you 20x Token Costs,2:33,153,True,5938,0.61,372,5,6.35,s8Cuc8_KOSY,https://i.ytimg.com/vi/s8Cuc8_KOSY/hqdefault.jpg
2026-08-06,6,You're Paying 20x More For Your Claude Tokens Than You Need To,1:35,95,True,4491,0.46,161,7,3.74,0CtisONmL4E,https://i.ytimg.com/vi/0CtisONmL4E/hqdefault.jpg
2026-08-06,7,You're Paying Anthropic 20x MORE Than You Need To,19:00,1140,False,50277,1.0,1469,108,3.14,V0XbuApxlhg,https://i.ytimg.com/vi/V0XbuApxlhg/hqdefault.jpg
2026-08-05,8,The #1 Claude skill for design just got upgraded,0:52,52,True,15221,1.56,829,4,5.47,A_J0AyKXilk,https://i.ytimg.com/vi/A_J0AyKXilk/hqdefault.jpg
2026-08-04,8,The Skill Fixes One of Claudes Biggest Weaknesses,0:46,46,True,14148,1.45,811,4,5.76,6ydH45pA23I,https://i.ytimg.com/vi/6ydH45pA23I/hqdefault.jpg
2026-08-04,9,The #1 Claude Code Design Skill Just Got a HUGE Upgrade,15:27,927,False,79559,1.58,2047,97,2.69,RVeCbPg0liw,https://i.ytimg.com/vi/RVeCbPg0liw/hqdefault.jpg
