date,age_days,title,dur,seconds,is_short,views,outlier,likes,comments,engagement_pct,id,thumb
2026-08-10,2,Engineers… Your Software Factory NEEDS Agent Sandboxes to SCALE (exe.dev),37:15,2235,False,17455,0.54,842,123,5.53,SEI_qIW4o2c,https://i.ytimg.com/vi/SEI_qIW4o2c/hqdefault.jpg
2026-08-03,9,My Super Simple Software Factory (For Agentic Engineers),29:53,1793,False,38130,1.17,1442,153,4.18,haUfb1ievTE,https://i.ytimg.com/vi/haUfb1ievTE/hqdefault.jpg
2026-07-27,16,Is Anthropic STEALING Your Data? (While You PAY FOR IT),34:30,2070,False,11882,0.37,458,79,4.52,qh4vLlit97I,https://i.ytimg.com/vi/qh4vLlit97I/hqdefault.jpg
2026-07-20,23,Engineers... STOP Picking GPT-5.6 Sol OR Claude Fable 5… FUSE THEM,26:22,1582,False,38030,1.17,1312,121,3.77,AQl5Q-0l7FQ,https://i.ytimg.com/vi/AQl5Q-0l7FQ/hqdefault.jpg
2026-07-13,30,FORGET Loop Engineering. Agentic Engineering is about THIS,34:18,2058,False,111411,3.43,5121,330,4.89,VQy50fuxI34,https://i.ytimg.com/vi/VQy50fuxI34/hqdefault.jpg
2026-07-06,37,SEE CMUX SOLVE Multi-Agent Orchestration (Claude Code and Pi Agent),30:29,1829,False,33912,1.04,1052,110,3.43,WAFUMBLOjHo,https://i.ytimg.com/vi/WAFUMBLOjHo/hqdefault.jpg
2026-06-29,44,GLM-5.2 vs MiniMax-M3: Opus Has REAL COMPETITION (Model Stacking),26:20,1580,False,21958,0.68,679,92,3.51,cFYdiynrxpQ,https://i.ytimg.com/vi/cFYdiynrxpQ/hqdefault.jpg
2026-06-22,51,PLANS For Fable 5: Rebuilding My /Plan Skill for Mythos Class Models,62:49,3769,False,19004,0.58,628,59,3.62,DzbqeO_diOQ,https://i.ytimg.com/vi/DzbqeO_diOQ/hqdefault.jpg
2026-06-15,58,Claude Fable 5 BANNED: The First Model Agentic Engineers DON'T NEED,31:25,1885,False,18661,0.57,482,105,3.15,D1BHGv4gB6c,https://i.ytimg.com/vi/D1BHGv4gB6c/hqdefault.jpg
2026-06-08,65,I Ranked Cloudflare’s Software Factory and Wow… S TIER TOKENOMICS,41:54,2514,False,18859,0.58,806,36,4.46,YG4t7aMY81c,https://i.ytimg.com/vi/YG4t7aMY81c/hqdefault.jpg
2026-06-01,72,Pi Coding Agent Observability: HTML Specs with Gemini 3.5 Flash and GPT Image 2,25:26,1526,False,17575,0.54,497,29,2.99,o4KZH_KSqYQ,https://i.ytimg.com/vi/o4KZH_KSqYQ/hqdefault.jpg
2026-05-25,79,Top #1 Opportunity for Senior Engineers: Agentic Engineering,26:22,1582,False,32800,1.01,1281,147,4.35,2KcITKKJikA,https://i.ytimg.com/vi/2KcITKKJikA/hqdefault.jpg
2026-05-18,86,Pi to Pi: Two-Way Agent Orchestration with the Pi Coding Agent,34:52,2092,False,46720,1.44,1424,134,3.33,PIdETjcXNIk,https://i.ytimg.com/vi/PIdETjcXNIk/hqdefault.jpg
2026-05-11,93,"Engineers, DELETE the BASH Tool: Agentic Security For Pi Agent and Claude Code",31:10,1870,False,28662,0.88,979,158,3.97,yBcmIoA-vGs,https://i.ytimg.com/vi/yBcmIoA-vGs/hqdefault.jpg
2026-05-04,100,GPT-5.5 VERIFIED Opus 4.7: A Pi Coding Agent That REVIEWS Like YOU,32:52,1972,False,32183,0.99,894,100,3.09,EnXKysJNz_8,https://i.ytimg.com/vi/EnXKysJNz_8/hqdefault.jpg
2026-04-27,107,MAXIMIZE Your Claude Code Subscription (Without Getting BANNED),23:31,1411,False,24601,0.76,663,107,3.13,8IDzBRRFnQU,https://i.ytimg.com/vi/8IDzBRRFnQU/hqdefault.jpg
2026-04-20,114,"My M5 Max, Gemma 4, MLX LOCAL Stack. (This KILLS MODEL PROVIDERS)",39:04,2344,False,168908,5.2,2962,328,1.95,00Y-p62sk0s,https://i.ytimg.com/vi/00Y-p62sk0s/hqdefault.jpg
2026-04-13,121,The First UNSHIPPED Model: Claude MYTHOS (Senior Engineer Breakdown),36:25,2185,False,19726,0.61,775,106,4.47,RvowJ_hmLps,https://i.ytimg.com/vi/RvowJ_hmLps/hqdefault.jpg
2026-04-06,128,My Pi Agent Teams. Claude Code Leak SIGNAL. Harness Engineering,32:27,1947,False,40803,1.26,1288,141,3.5,RairMJflUSA,https://i.ytimg.com/vi/RairMJflUSA/hqdefault.jpg
2026-03-30,135,One Agent Is NOT ENOUGH: Agentic Coding BEYOND Claude Code,34:57,2097,False,36363,1.12,1128,137,3.48,M30gp1315Y4,https://i.ytimg.com/vi/M30gp1315Y4/hqdefault.jpg
2026-03-23,142,Pi CEO Agents. Claude 1M Context. Multi-Agent Teams.,40:04,2404,False,29343,0.9,830,100,3.17,TqjmTZRL31E,https://i.ytimg.com/vi/TqjmTZRL31E/hqdefault.jpg
2026-03-16,149,"The Library Meta-Skill: How I Distribute PRIVATE Skills, Agents and Prompts",26:32,1592,False,28237,0.87,877,94,3.44,_vpNQ6IwP9w,https://i.ytimg.com/vi/_vpNQ6IwP9w/hqdefault.jpg
2026-03-09,156,Mac Mini Agents: OpenClaw is a NIGHTMARE... Use these SKILLS instead,26:21,1581,False,38356,1.18,1163,104,3.3,LOazLNQnB80,https://i.ytimg.com/vi/LOazLNQnB80/hqdefault.jpg
2026-03-02,163,I Studied Stripe's AI Agents... Vibe Coding Is Already Dead,40:32,2432,False,67662,2.08,2187,219,3.56,V5A1IU8VVp4,https://i.ytimg.com/vi/V5A1IU8VVp4/hqdefault.jpg
2026-02-23,170,The Pi Coding Agent: The ONLY REAL Claude Code COMPETITOR,51:37,3097,False,243404,7.49,7123,515,3.14,f8cfH5XX-XU,https://i.ytimg.com/vi/f8cfH5XX-XU/hqdefault.jpg
2026-02-16,177,My 4-Layer Claude Code Playwright CLI Skill  (Agentic Browser Automation),27:16,1636,False,29401,0.9,918,53,3.3,efctPj6bjCY,https://i.ytimg.com/vi/efctPj6bjCY/hqdefault.jpg
2026-02-09,184,"Claude Code Multi-Agent Orchestration with Opus 4.6, Tmux and Agent Sandboxes",24:03,1443,False,58418,1.8,1516,130,2.82,RpUTF_U4kiw,https://i.ytimg.com/vi/RpUTF_U4kiw/hqdefault.jpg
2026-02-02,191,Claude Code Task System: ANTI-HYPE Agentic Coding (Advanced),28:27,1707,False,47297,1.46,1584,163,3.69,4_2j5wgt_ds,https://i.ytimg.com/vi/4_2j5wgt_ds/hqdefault.jpg
2026-01-26,198,One Prompt Every AGENTIC Codebase Should Have (For Engineering Teams),22:36,1356,False,21724,0.67,528,38,2.61,3_mwKbYvbUg,https://i.ytimg.com/vi/3_mwKbYvbUg/hqdefault.jpg
2026-01-19,205,The Claude Code Feature Senior Engineers KEEP MISSING,27:29,1649,False,58871,1.81,1978,105,3.54,u5GkG71PkR0,https://i.ytimg.com/vi/u5GkG71PkR0/hqdefault.jpg
