date,age_days,title,dur,seconds,is_short,views,outlier,likes,comments,engagement_pct,id,thumb
2026-08-12,0,Turn Claude into a Design Genius... Just Watch,17:55,1075,False,7644,0.23,391,30,5.51,NAumQObJEwM,https://i.ytimg.com/vi/NAumQObJEwM/hqdefault.jpg
2026-08-12,0,Your CLAUDE.md is too long,0:39,39,True,2431,0.1,68,3,2.92,CTkKoz-TieY,https://i.ytimg.com/vi/CTkKoz-TieY/hqdefault.jpg
2026-08-10,2,Claude Design just got 10X Better... I'm Done,12:06,726,False,40705,1.22,1216,68,3.15,jq9LRwE0-GQ,https://i.ytimg.com/vi/jq9LRwE0-GQ/hqdefault.jpg
2026-08-10,2,Automate your scheduled tasked now,0:51,51,True,1490,0.06,51,1,3.49,toVxUaUg5Mc,https://i.ytimg.com/vi/toVxUaUg5Mc/hqdefault.jpg
2026-08-07,5,This New Hermes Agent Skill is Insane,23:17,1397,False,15682,0.47,436,29,2.97,qEuxFsK7apk,https://i.ytimg.com/vi/qEuxFsK7apk/hqdefault.jpg
2026-08-07,6,3 use cases for Hermes and Fable 5,0:30,30,True,3625,0.15,81,2,2.29,qAjplmWqs0M,https://i.ytimg.com/vi/qAjplmWqs0M/hqdefault.jpg
2026-08-07,6,100 Cheap Agents vs 1 Frontier Model,0:32,32,True,3795,0.16,90,1,2.4,upk8DK4O_h0,https://i.ytimg.com/vi/upk8DK4O_h0/hqdefault.jpg
2026-08-06,6,Claude Design 3.0 Just Destroyed AI slop Forever,17:55,1075,False,49199,1.47,1600,116,3.49,wJWO91mi5o0,https://i.ytimg.com/vi/wJWO91mi5o0/hqdefault.jpg
2026-08-05,8,Copy This Claude Setup That Won Anthropic's Hackathon,0:35,35,True,5600,0.24,184,2,3.32,0g1BRdHgIM0,https://i.ytimg.com/vi/0g1BRdHgIM0/hqdefault.jpg
2026-08-04,8,Why your AI website looks cheap,0:38,38,True,32500,1.38,1383,14,4.3,jO2Rturffu8,https://i.ytimg.com/vi/jO2Rturffu8/hqdefault.jpg
2026-08-03,9,The 3 Agent Setup I use in Claude Code,0:47,47,True,5095,0.22,158,6,3.22,7cZ9PtKHXk8,https://i.ytimg.com/vi/7cZ9PtKHXk8/hqdefault.jpg
2026-08-01,11,Give Claude eyes to actually watch videos,0:38,38,True,23517,1.0,1047,20,4.54,X6U0U8BwAao,https://i.ytimg.com/vi/X6U0U8BwAao/hqdefault.jpg
2026-07-31,12,I Built an AI Agent That Works While I Sleep (No Code),20:19,1219,False,9089,0.27,214,28,2.66,zazasynMZ6g,https://i.ytimg.com/vi/zazasynMZ6g/hqdefault.jpg
2026-07-31,12,Never run out of Claude tokens again,0:36,36,True,19010,0.81,871,23,4.7,q26SM0Q6cds,https://i.ytimg.com/vi/q26SM0Q6cds/hqdefault.jpg
2026-07-31,12,Claude now runs my entire social media,0:40,40,True,30735,1.31,1502,30,4.98,W93f8ZFOzxQ,https://i.ytimg.com/vi/W93f8ZFOzxQ/hqdefault.jpg
2026-07-30,13,How I gave Claude infinite memory,0:41,41,True,27157,1.15,1265,30,4.77,p-EnoKm4EWM,https://i.ytimg.com/vi/p-EnoKm4EWM/hqdefault.jpg
2026-07-29,14,"Hermes Agent Just Released QuickSilver, and...",17:59,1079,False,31887,0.95,812,70,2.77,zjFFEMIbe7E,https://i.ytimg.com/vi/zjFFEMIbe7E/hqdefault.jpg
2026-07-28,15,"ChatGPT Voice 2.0 Just Dropped, and…",13:20,800,False,33706,1.01,687,74,2.26,_wtCHLUUzlQ,https://i.ytimg.com/vi/_wtCHLUUzlQ/hqdefault.jpg
2026-07-28,15,FREE prompt to make Claude Smarter,0:47,47,True,42006,1.79,1853,17,4.45,F86ovkAsu0I,https://i.ytimg.com/vi/F86ovkAsu0I/hqdefault.jpg
