date,age_days,title,dur,seconds,is_short,views,outlier,likes,comments,engagement_pct,id,thumb
2026-08-12,0,I Deleted All My Claude Skills... And Claude Got Smarter,11:56,716,False,23221,0.36,941,84,4.41,XNQBCRcwXV4,https://i.ytimg.com/vi/XNQBCRcwXV4/hqdefault.jpg
2026-08-12,1,Grok Bot is For Real. What You Need to Know.,20:32,1232,False,22650,0.35,669,101,3.4,PQBYZQqan2g,https://i.ytimg.com/vi/PQBYZQqan2g/hqdefault.jpg
2026-08-11,1,I Build Features Just By Talking to My Code,0:31,31,True,19559,0.71,331,6,1.72,bzSN73XXiC4,https://i.ytimg.com/vi/bzSN73XXiC4/hqdefault.jpg
2026-08-11,1,How to Build a One Person AI Business (Using Claude Code),24:52,1492,False,37646,0.59,1470,74,4.1,LVAHYV4Xrto,https://i.ytimg.com/vi/LVAHYV4Xrto/hqdefault.jpg
2026-08-10,2,Build & Sell AI SaaS Products (2 HOUR COURSE),142:52,8572,False,30962,0.49,1182,72,4.05,IVx8OSMbTss,https://i.ytimg.com/vi/IVx8OSMbTss/hqdefault.jpg
2026-08-06,6,Give ChatGPT and Claude the Same Memory,0:38,38,True,53401,1.94,1312,244,2.91,NClayXM8pU0,https://i.ytimg.com/vi/NClayXM8pU0/hqdefault.jpg
2026-08-04,8,5000 Hours of Building AI in Just 17 Minutes,15:44,944,False,60491,0.95,2029,108,3.53,7WZ6XldxX0U,https://i.ytimg.com/vi/7WZ6XldxX0U/hqdefault.jpg
2026-08-01,11,18 Months of Pricing AI Automations in 21 Mins,21:20,1280,False,24472,0.38,868,107,3.98,Lg5TYWPSg6M,https://i.ytimg.com/vi/Lg5TYWPSg6M/hqdefault.jpg
2026-07-26,17,This AI Technology Will Replace Millions (Here's How to Prepare),14:03,843,False,62205,0.97,1595,113,2.75,Ums8suyAG1A,https://i.ytimg.com/vi/Ums8suyAG1A/hqdefault.jpg
2026-07-24,19,I Tested Opus 5 vs. Fable 5. What You Need to Know.,30:53,1853,False,90640,1.42,2057,168,2.45,2J3uX8iRNng,https://i.ytimg.com/vi/2J3uX8iRNng/hqdefault.jpg
2026-07-23,20,Steal My Exact AI OS Setup (5 simple tips),25:04,1504,False,39038,0.61,999,64,2.72,Ek1NBfnnTH0,https://i.ytimg.com/vi/Ek1NBfnnTH0/hqdefault.jpg
2026-07-22,21,How I’d Make Money with Claude if my life depended on it,9:19,559,False,128671,2.02,4103,207,3.35,vY0EzTP-7EA,https://i.ytimg.com/vi/vY0EzTP-7EA/hqdefault.jpg
2026-07-21,22,Huge ChatGPT Update You Need to See!,0:59,59,True,26707,0.97,781,27,3.03,c1TWmKILaeM,https://i.ytimg.com/vi/c1TWmKILaeM/hqdefault.jpg
2026-07-20,23,"Why Your AI Offer Isn't Selling, and How to Fix That",55:41,3341,False,37438,0.59,1130,118,3.33,8MEJen0nblQ,https://i.ytimg.com/vi/8MEJen0nblQ/hqdefault.jpg
2026-07-14,29,The $200K AI Job That Didn't Exist Last Year,10:15,615,False,77130,1.21,2467,139,3.38,eFOTQpbGcy8,https://i.ytimg.com/vi/eFOTQpbGcy8/hqdefault.jpg
2026-07-12,31,Claude Code + Clay Makes Lead Generation Actually Fun,18:03,1083,False,51107,0.8,1406,96,2.94,zyvdl__Ywfk,https://i.ytimg.com/vi/zyvdl__Ywfk/hqdefault.jpg
2026-07-11,32,OpenArt Director: The New Way to Make AI Videos,0:32,32,True,36419,1.32,897,159,2.9,4fKn9O-YhtI,https://i.ytimg.com/vi/4fKn9O-YhtI/hqdefault.jpg
2026-07-11,32,Claude Code for Non-Coders (6 Hour Course),359:00,21540,False,149415,2.34,4663,200,3.25,jdbOVepEtUE,https://i.ytimg.com/vi/jdbOVepEtUE/hqdefault.jpg
2026-07-11,33,ClickUp Brain2: The AI That Replaces All Your Software,1:40,100,True,27551,1.0,873,13,3.22,AZXV1zzuFuQ,https://i.ytimg.com/vi/AZXV1zzuFuQ/hqdefault.jpg
2026-07-10,34,I Tested GPT 5.6 Sol vs Fable 5. What You Need To Know.,20:25,1225,False,210869,3.3,4052,422,2.12,EthxaDswUFo,https://i.ytimg.com/vi/EthxaDswUFo/hqdefault.jpg
2026-07-09,34,GPT 5.6 Sol Made This Entire Video,5:24,324,False,102358,1.6,3263,225,3.41,J_jswzXhYJA,https://i.ytimg.com/vi/J_jswzXhYJA/hqdefault.jpg
2026-07-09,34,This AI Builds Entire Apps For You,0:39,39,True,35326,1.28,882,325,3.42,qH8qd4DgY7A,https://i.ytimg.com/vi/qH8qd4DgY7A/hqdefault.jpg
2026-07-08,35,Fable 5 Just Built Me a Business With One Prompt,12:28,748,False,63824,1.0,1740,151,2.96,R0qF17BVl9w,https://i.ytimg.com/vi/R0qF17BVl9w/hqdefault.jpg
2026-07-07,37,How I Make Opus Think Like Fable (5 easy steps),10:00,600,False,75520,1.18,2549,114,3.53,XTBWVVcF3Pk,https://i.ytimg.com/vi/XTBWVVcF3Pk/hqdefault.jpg
2026-07-03,40,Fable 5 + Karpathy’s LLM Wiki is Basically Cheating,14:35,875,False,89752,1.41,1972,116,2.33,hQvwMj7IJe4,https://i.ytimg.com/vi/hQvwMj7IJe4/hqdefault.jpg
2026-07-03,40,How Claude is Creating a New Generation of Millionaires,9:36,576,False,127187,1.99,3640,208,3.03,pbrln2TVeh4,https://i.ytimg.com/vi/pbrln2TVeh4/hqdefault.jpg
2026-07-01,42,How Anthropic Engineers Actually Prompt Fable 5,10:45,645,False,69503,1.09,1656,108,2.54,vcU85OrwuV0,https://i.ytimg.com/vi/vcU85OrwuV0/hqdefault.jpg
2026-06-29,44,Stanford's Method Turns Claude Into a PHD Level Research Team,12:06,726,False,61889,0.97,2028,104,3.44,Tj3018n5MVg,https://i.ytimg.com/vi/Tj3018n5MVg/hqdefault.jpg
2026-06-25,48,I asked Claude Code to make me as much money as possible,28:13,1693,False,186848,2.93,5137,255,2.89,iTY8Q449YNQ,https://i.ytimg.com/vi/iTY8Q449YNQ/hqdefault.jpg
2026-06-24,49,Why Watching AI Videos Isn't Enough,2:36,156,True,9092,0.33,232,20,2.77,S2ME69hra-k,https://i.ytimg.com/vi/S2ME69hra-k/hqdefault.jpg
