date,age_days,title,dur,seconds,is_short,views,outlier,likes,comments,engagement_pct,id,thumb
2026-08-12,0,Claude Resume Optimizer: Match Your Resume to a Job Description,0:27,27,True,1277,0.32,57,27,6.58,KvO9m33dors,https://i.ytimg.com/vi/KvO9m33dors/hqdefault.jpg
2026-08-12,0,I Built The Same App on Every AI,8:46,526,False,1823,0.39,152,20,9.43,qxy4Rq9VbhI,https://i.ytimg.com/vi/qxy4Rq9VbhI/hqdefault.jpg
2026-08-12,0,How I Used ChatGPT to Find My Data Broker Listings,0:45,45,True,378,0.09,33,2,9.26,hXwfY3mNUZE,https://i.ytimg.com/vi/hXwfY3mNUZE/hqdefault.jpg
2026-08-11,1,How I Run My Content Business With Claude and 1 Command,0:24,24,True,4034,1.01,149,39,4.66,VXc_EX8UcxE,https://i.ytimg.com/vi/VXc_EX8UcxE/hqdefault.jpg
2026-08-11,1,I Asked ChatGPT to Plan My Fastest Path to a Paying Customer,0:48,48,True,6807,1.7,385,17,5.91,e_hPej6EoQ8,https://i.ytimg.com/vi/e_hPej6EoQ8/hqdefault.jpg
2026-08-10,2,3 ChatGPT Prompts to Make Your Resume Harder to Reject,0:40,40,True,3239,0.81,117,41,4.88,YbAJ1Y8FTU0,https://i.ytimg.com/vi/YbAJ1Y8FTU0/hqdefault.jpg
2026-08-10,2,8 AI and Coding Websites for Kids,1:02,62,True,7156,1.79,507,8,7.2,VJvSMxKNr7Y,https://i.ytimg.com/vi/VJvSMxKNr7Y/hqdefault.jpg
2026-08-09,3,AI SEO for Small Business: Start With 10 Questions,1:31,91,True,4677,1.17,315,23,7.23,-JCObx5MzXw,https://i.ytimg.com/vi/-JCObx5MzXw/hqdefault.jpg
2026-08-09,3,Your AI SEO Positioning Statement in 3 Steps,1:50,110,True,1749,0.44,153,5,9.03,EZpnMzc67xM,https://i.ytimg.com/vi/EZpnMzc67xM/hqdefault.jpg
2026-08-08,4,Make Your Business Visible in ChatGPT Search,2:17,137,True,2417,0.6,169,4,7.16,sPQCOQCxj28,https://i.ytimg.com/vi/sPQCOQCxj28/hqdefault.jpg
2026-08-08,4,3 Ways to Use AI for Finance & Asset Management,43:36,2616,False,3364,0.72,118,23,4.19,-gw82OxdbwA,https://i.ytimg.com/vi/-gw82OxdbwA/hqdefault.jpg
2026-08-08,4,3 AI SEO Pages Small Businesses Need,1:36,96,True,2049,0.51,160,17,8.64,YjK02f_3evE,https://i.ytimg.com/vi/YjK02f_3evE/hqdefault.jpg
2026-08-07,5,How to Write Pages AI Search Will Quote,1:32,92,True,2508,0.63,145,5,5.98,UmF5gRqfzT0,https://i.ytimg.com/vi/UmF5gRqfzT0/hqdefault.jpg
2026-08-07,5,Here's why everyone's going back to ChatGPT...,92:37,5557,False,10368,2.22,472,42,4.96,TES0N3m6jkM,https://i.ytimg.com/vi/TES0N3m6jkM/hqdefault.jpg
2026-08-07,5,Here's why everyone is going back to ChatGPT...,0:00,0,False,0,0.0,0,0,0,WiFOMStKs-E,https://i.ytimg.com/vi/WiFOMStKs-E/hqdefault_live.jpg
2026-08-07,5,How to Get Your Business Mentioned in AI Answers,1:32,92,True,3169,0.79,226,12,7.51,spKzje6wlsg,https://i.ytimg.com/vi/spKzje6wlsg/hqdefault.jpg
2026-08-06,6,How to Measure AI SEO for Your Small Business,1:22,82,True,3767,0.94,197,15,5.63,5kS1PPT_xHc,https://i.ytimg.com/vi/5kS1PPT_xHc/hqdefault.jpg
2026-08-06,6,5 ChatGPT Commands for Your Next Test,0:35,35,True,8354,2.09,442,96,6.44,rUhy86K-8X0,https://i.ytimg.com/vi/rUhy86K-8X0/hqdefault.jpg
2026-08-05,7,The ChatGPT Desktop Update I Use Every Day,0:47,47,True,9378,2.35,475,278,8.03,G_SsnajdLJg,https://i.ytimg.com/vi/G_SsnajdLJg/hqdefault.jpg
2026-08-05,7,Why ChatGPT Desktop Beat Claude Desktop,0:38,38,True,10230,2.56,480,175,6.4,Dy9WmPBqUq0,https://i.ytimg.com/vi/Dy9WmPBqUq0/hqdefault.jpg
2026-08-04,8,Turning Off ChatGPT Training Doesn't Delete Your Chats,0:39,39,True,2815,0.7,104,2,3.77,FTxqXajyHOY,https://i.ytimg.com/vi/FTxqXajyHOY/hqdefault.jpg
