age,title,dur,views,outlier
14h,I Built The Same App on Every AI,8:46,1700,0.5
4d,3 Ways to Use AI for Finance & Asset Management,43:36,3300,1.0
8d,I Built $1M Marketing Team with 1 AI Agent (7 Skills),15:03,12000,3.6
9d,Claude Fable 6 INSANE Projects To Get Ahead of 99%,13:29,5900,1.0
12d,How This Lawyer Uses AI (3 Real Use Cases),42:07,5200,0.9
13d,Is AI Making Us Dumber?,11:48,2400,0.4
2w,Every Prompt to Make Unlimited Free AI Videos,6:40,39000,2.8
2w,Loop Engineering for AI Agents (Claude /goal & Routines),15:12,6100,0.4
3w,How I Used Claude Code To Get 30M+ Views,17:58,14000,1.0
3w,10 Secret Codes for Claude AI & ChatGPT,14:53,0,6.2
3w,This Mom Created $300k Value with AI,47:09,0,0.4
3w,How I Gained 2.6 Million Followers In 24 Months (with AI),6:26,0,0.9
