date,age_days,title,dur,seconds,is_short,views,outlier,likes,comments,engagement_pct,id,thumb
2026-08-12,0,I Built a YouTube Business That Runs Itself With Claude Code,20:06,1206,False,30,0.09,1,0,3.33,GJQCUcx4roA,https://i.ytimg.com/vi/GJQCUcx4roA/hqdefault.jpg
2026-08-12,0,"What a Claude Code skill actually is, no code #shorts",1:25,85,True,279,0.23,1,1,0.72,RdI9Y4xRrMo,https://i.ytimg.com/vi/RdI9Y4xRrMo/hqdefault.jpg
2026-08-11,1,Most Claude Code demos are fake. Here is the real one #shorts,1:53,113,True,683,0.57,6,0,0.88,TXNU0x7M6vY,https://i.ytimg.com/vi/TXNU0x7M6vY/hqdefault.jpg
2026-08-10,2,"17 Claude Code skills run my content business, no code #shorts",2:06,126,True,315,0.26,3,0,0.95,DnssEp1Px24,https://i.ytimg.com/vi/DnssEp1Px24/hqdefault.jpg
2026-08-09,3,I Automated My Entire Content Workflow with Claude Code,33:13,1993,False,330,1.01,16,2,5.45,-dEeg0WnJxs,https://i.ytimg.com/vi/-dEeg0WnJxs/hqdefault.jpg
2026-08-08,4,"Opus 5 vs Fable 5: same screenshot, same prompt, watch the cost #shorts",1:57,117,True,495,0.41,4,0,0.81,hHztG2CtQsU,https://i.ytimg.com/vi/hHztG2CtQsU/hqdefault.jpg
2026-08-07,5,"Claude Opus 5 vs Fable 5: half the price, catches its own errors #shorts",2:07,127,True,963,0.8,5,0,0.52,NhRYfEygTRw,https://i.ytimg.com/vi/NhRYfEygTRw/hqdefault.jpg
2026-08-05,7,Claude Opus 5 Cut My API Bill in Half — Here's the Catch,18:16,1096,False,387,1.18,12,2,3.62,J5lkE_jBEko,https://i.ytimg.com/vi/J5lkE_jBEko/hqdefault.jpg
2026-07-23,20,"I Don't Edit Videos Anymore, Claude Code Does",14:41,881,False,259,0.79,9,2,4.25,cdvi2ooarDc,https://i.ytimg.com/vi/cdvi2ooarDc/hqdefault.jpg
2026-07-23,21,I Edit My Videos by Talking to Claude Code NOW,14:41,881,False,113,0.35,3,0,2.65,AH1ZpX7SD9Y,https://i9.ytimg.com/vi/AH1ZpX7SD9Y/hqdefault.jpg?sqp=CKDg9dMG&rs=AOn4CLBIc5hQ6v5YvSNL86s8sj2CU7FzTQ
2026-07-19,24,I Automated My Video Ads with Elevenlabs Agent,17:40,1060,False,192,0.59,6,1,3.65,WJabXRVe8JQ,https://i.ytimg.com/vi/WJabXRVe8JQ/hqdefault.jpg
