date,title,dur,views,impressions,ctr,subs
2026-08-11,Most Claude Code demos are fake. Here is the real,1:53,592,254,1.2,3
2026-08-10,17 Claude Code skills run my content business no,2:06,283,507,0.2,0
2026-08-09,I Automated My Entire Content Workflow with Claude,33:13,298,6164,2.4,4
2026-08-08,Opus 5 vs Fable 5: same screenshot same prompt,1:57,497,712,2.3,0
2026-08-07,Claude Opus 5 vs Fable 5: half the price catches it,2:07,964,2005,2.6,0
2026-08-05,Claude Opus 5 Cut My API Bill in Half - Here's the Catch,18:16,371,19334,0.9,0
2026-07-23,I Don't Edit Videos Anymore Claude Code Does,14:41,259,3803,3.6,2
2026-07-22,I Edit My Videos by Talking to Claude Code NOW,14:41,113,2318,2.9,1
2026-07-19,I Automated My Video Ads with Elevenlabs Agent,17:40,190,3611,2.7,1
2026-07-15,I Automated My Life with Claude Routines,13:19,528,8118,3.5,4
2026-07-08,The Best AI Image Model for YouTube Thumbnails,19:48,168,3556,1.9,1
2026-07-05,I Connected Granola to Claude Code Here's What,12:17,449,8067,3.5,2
2026-07-03,Claude Cowork Full Course: Build Your AI Employee,47:22,524,4588,3.5,5
2026-06-25,Claude COWORK Easily Explained (& how to use it),15:00,327,5665,3.1,4
2026-06-21,Build ANYTHING with Claude Skills (in 30 Minutes),32:08,305,6986,2.5,3
2026-06-14,I Run My Entire Content Business on 3 Claude Code,15:59,300,4923,2.9,1
2026-05-03,3 AI Tools That Replaced Canva for Me,1:44,2718,1298,1.6,4
2026-05-02,Seedance 2 vs Kling 3 - Same Prompt Shocking Diff,1:18,1401,2302,2.5,3
2026-05-01,The Claude Routine I Built for a 150K YouTuber,2:19,2640,1525,1.3,6
2026-04-30,The Email Triage Routine That Saves Me Hours,1:17,1879,711,1.7,5
2026-04-29,Claude Routines + Claude Code Explained (The Stack),19:22,602,6095,3.0,3
2026-04-28,Kling 3 VFX That Used to Cost $10K Now 50 Cents,1:21,1206,1380,2.2,0
2026-04-27,How I Find Winning YouTube Topics in 30 Seconds,0:56,55,430,0.2,0
2026-04-26,Claude Design is Incredible,11:53,520,10007,3.0,2
2026-04-25,This $0 AI Ad Outperformed a $500 UGC Creator,0:52,1504,2355,1.0,3
2026-04-24,I Generate YouTube Thumbnails in 30 Seconds with,0:58,573,1832,0.3,0
2026-04-23,Nano Banana + Kling 3.0 = UGC Ad in 5 Minutes,1:07,1777,3034,2.0,3
2026-04-22,Claude Routines Run 24/7 Without My Computer On,1:47,1596,1940,1.5,4
2026-04-21,How to Create Your First Claude Routine in 2 Minutes,2:55,5476,22511,4.7,22
